https://habr.com/ru/post/536750/, java=0, google=2, program=1, программа=3
https://habr.com/ru/post/537444/, java=0, google=2, program=0, программа=7
https://habr.com/ru/company/gaijin/fans/, java=0, google=0, program=0, программа=0
https://habr.com/ru/docs/authors/, java=0, google=0, program=0, программа=0
https://tmtm.ru/services/content/, java=0, google=0, program=0, программа=0
https://habr.com/ru/auth/register/, java=0, google=0, program=0, программа=0
https://habr.com/ru/flows/management/, java=3, google=1, program=0, программа=0
https://habr.com/ru/hub/3d_graphics/, java=4, google=2, program=0, программа=0
https://habr.com/company/gaijin/, java=0, google=0, program=0, программа=0
https://habr.com/ru/company/vdsina/blog/535688/, java=0, google=4, program=0, программа=1
https://freelance.habr.com, java=0, google=0, program=0, программа=0
https://habr.com/ru/company/gaijin/, java=0, google=0, program=0, программа=0
https://habr.com/ru/hubs/, java=8, google=3, program=0, программа=0
https://gaijinent.com/, java=0, google=0, program=0, программа=0
https://vk.com/habr, java=0, google=0, program=0, программа=0
https://habr.com/ru/post/534242/, java=0, google=20, program=0, программа=5
https://habr.com/ru/news/, java=2, google=4, program=0, программа=0
https://habr.com/ru/, java=3, google=2, program=0, программа=1
https://habr.com/ru/news/t/537328/, java=0, google=3, program=0, программа=0
https://tmtm.ru/workshops/, java=0, google=0, program=0, программа=0
https://company.habr.com/, java=0, google=0, program=0, программа=0
https://habr.com/ru/users/Jef239/, java=0, google=0, program=0, программа=0
https://habr.com/sandbox/start/, java=0, google=0, program=0, программа=0
https://tmtm.ru/services/advertising/, java=0, google=1, program=0, программа=0
https://account.habr.com/info/agreement/, java=0, google=0, program=0, программа=1
https://habr.com/ru/users/lesandr/, java=1, google=0, program=0, программа=0
https://www.facebook.com/habrahabr.ru, java=0, google=0, program=0, программа=0
https://habr.com/ru/users/NetNazgul/, java=0, google=0, program=0, программа=0
https://habr.com/ru/post/534590/, java=1, google=6, program=0, программа=1
https://habr.com/ru/company/gaijin/news/, java=0, google=0, program=0, программа=0
https://www.youtube.com/channel/UCd_sTwKqVrweTt4oAKY5y4w, java=0, google=1, program=0, программа=0
https://qna.habr.com, java=3, google=0, program=0, программа=0
https://zen.yandex.ru/habr, java=0, google=4, program=0, программа=0
https://u.habr.com/kasper-tip-test-rn, java=0, google=0, program=0, программа=0
https://habr.com/ru/about/, java=0, google=0, program=0, программа=0
https://habr.com/ru/post/534242/, java=1, google=20, program=0, программа=5
https://habr.com/ru/users/Imp5/, java=3, google=6, program=0, программа=0
https://habr.com/ru/company/gaijin/blog/536416/, java=0, google=0, program=0, программа=0
https://account.habr.com/info/confidential/, java=0, google=3, program=0, программа=0
https://habr.com/ru/feedback/, java=0, google=0, program=0, программа=0
https://habr.com/ru/, java=4, google=2, program=0, программа=1
https://habr.com/ru/companies/, java=6, google=0, program=0, программа=0
https://habr.com/ru/sandbox/, java=5, google=1, program=0, программа=1
https://habr.com/ru/news/t/537268/, java=0, google=1, program=0, программа=0
https://career.habr.com, java=1, google=0, program=0, программа=0
https://habr.com/ru/megaprojects/, java=1, google=0, program=0, программа=1
https://habr.com/ru/company/gaijin/vacancies/, java=0, google=0, program=0, программа=0
https://u.habr.com/kasper-tip-test-head, java=0, google=0, program=0, программа=0
https://habr.com/ru/flows/develop/, java=4, google=2, program=0, программа=1
https://habr.com/ru/docs/docs/, java=0, google=1, program=0, программа=0
https://habr.com/ru/company/gaijin/blog/top/, java=0, google=0, program=0, программа=0
https://habr.com/ru/company/selectel/blog/536604/, java=0, google=2, program=0, программа=1
https://u.tmtm.ru/iris-reading, java=1, google=2, program=0, программа=0
https://tmtm.ru/services/corpblog/, java=0, google=2, program=0, программа=0
https://habr.com/ru/post/536880/, java=8, google=5, program=0, программа=0
https://habr.com/ru/flows/admin/, java=2, google=0, program=0, программа=0
https://habr.com/ru/docs/companies/, java=0, google=0, program=0, программа=0
https://habr.com/ru/auth/login/, java=0, google=0, program=0, программа=0
https://habr.com/ru/hub/gamedev/, java=3, google=1, program=0, программа=0
https://habr.com/ru/flows/design/, java=4, google=0, program=0, программа=0
https://habr.com/ru/news/t/537308/, java=0, google=0, program=0, программа=0
https://habr.com/ru/top/, java=2, google=1, program=0, программа=0
https://habr.com/ru/flows/marketing/, java=3, google=1, program=0, программа=1
https://u.habr.com/huawei_ar_rn, java=1, google=0, program=0, программа=0
https://m.habr.com/ru, java=0, google=0, program=0, программа=0
https://habr.com/ru/company/gaijin/profile/, java=0, google=0, program=0, программа=0
https://career.habr.com/courses/222, java=0, google=0, program=0, программа=0
https://telegram.me/habr_com, java=0, google=0, program=0, программа=0
https://habr.com/ru/company/gaijin/blog/533380/, java=0, google=0, program=0, программа=0
https://habr.com/ru/users/, java=2, google=0, program=2, программа=0
https://habr.com/ru/company/yandex/blog/534586/, java=1, google=36, program=1, программа=1
https://habr.com/ru/company/gaijin/blog/, java=0, google=0, program=0, программа=0
https://habr.com/ru/flows/popsci/, java=2, google=2, program=0, программа=0
https://u.habr.com/tds2, java=0, google=0, program=0, программа=1
https://habr.com/ru/posts/top/, java=3, google=2, program=0, программа=1
https://habr.com/ru/company/gaijin/workers/, java=0, google=0, program=0, программа=0
https://habr.com/ru/docs/help/, java=0, google=0, program=0, программа=0
